NDS;DESCRICAO DO SERVICO;Postes;Trafos;Cabos;Outros
494006;NDS GERADA PARA SUBSTITUIR 115 METROS DE CABOS POR FASE,O MESMO ESTA AVARIADO EM VARIOS POSTOS SO PELA ALMA,DISTANCIA DE UM PS AO OUTRO E DE 115 PASSOS,DO PS 626520136 ATE O PS 626520126,CHAVE ABERTA 8918004945,CONSUMIDOR DESLIGADO,  [PS=626520133 V4X4=NAO  CESTO=SIM  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=626520133,RETENSIONAR CONDUTOR=3  [PS=626520133,3-CABO  AL NU CAA  4 AWG - COM ALMA  ];0;0;0;0
494007;FAVOR GERAR NSD NO SERVICO 50543143 PARA ESTALACAO DE ESTRIBO,O MESMO SE SOLTOU DO CABO E FOI CONECTADO O GLV DIRETO NO CABO,CONSUMIDOR LIGADO NO LOCAL,TR 89180D3680;0;0;0;0
494009;FAVOR GERAR NDS PARA MANUTENCAO FAZER A TROCA DO TR 86288P3240 O MESMO ESTA COM VAZAMENTO NA BUCHA ABRIU 3 VZSDE ONTEM PRA CA MESMO FICOU FECHADO NO LOCAL SE POSSIVEL TROCA COM URGENCIA LEITARIA NO LOCAL E DEPOSITO DE.QUEIJO ACESSO BOM,  [PS=110508292 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=NAO   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=1105082927,TRANSFORMADOR COM VAZAMENTO=1  [PS=1105082927,1-TRANSF. MONO. 13.2KV-254V 25 KVA  ];0;0;0;0
494011;NDS 493950 COMPLEMENTAR*****TROCA POSTE E TR NO PS 889989664 ROMPEU CABO LEVANDO A QUEBRAR POSTE LOCAL DE DIFICIL ACESSO, REDE VEM DE PALMITAL COMUNICAR COD PARA VER COMO ESTA PRO OUTRO LADO PARA FAZER SERVICO COM SEGURANCA TRAZER UNS 4 METROS DE RAMAL 16 MM,;0;0;0;0
494012;,PS ESTA 8 POSTE A FRENTE DO RA 88696 (PROXIMO CHAVE 84076 Q ESTA INSTALADO NO PS 1100281200. ,RA 88696 E A CH 88695 ESTAO ABERTOS PARA SECCIONAR TRECHO , PR TRIFASICO REDE SEM INFORMACOES NO GPS . TEM CABOS SOLTO FORA DO ISOLADOS PROXIMO DO SOLO EM DOIS PONTO PARA FRENTE NA REDE ESTAO AO LADO RA 84052 , REDE QUE PASSA EMBAIXO FICOU LIGADA SERA NESSECARIO DESLIGAR PARA TRABALHAR  V4X4=NAO  CESTO=SIM  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=NAO  AVARIANAREDE=SIM    PS=1100281200 PS=1100281200,POSTE AVARIADO/ABALROADO (SUBSTITUIR=1 PS=1100281200,RETENSIONAR CONDUTOR=3 PS=1100281200,SUBSTITUIR CRUZETA(S=1  [PS=1100281200,1-CRUZETA POSTE CONCRETO L=2000MM  PS=1100281200,1-POSTE DUPLO T B/300/12,0M  ];0;0;0;0
494013;COMPLEMENTAR DA NDS 493396----EMENDAR CONDUTOR DE MT 3X2,25 NO PS 946243825 ATE 946243376, JUMPER ABERTO NO PS 946243831 E TRIP 59384 FICOU FECHADA, SEM ACESSO A NENHUM DOS PS, 500 MT DE PUCHADA, FAZER DE DIA A NOITE FICA DIFICIL FAZER,;0;0;0;0
494014;TROCAR POSTE QUEBRADO E EMENDA DE CABO PS 785088259  CHAVE 8321607149 FICOU ABERTA E JUMPER ABERTO NO PS 785049089  REDE ESTA  LIGADA PELA CHAVE 8321607163 ATE JUMPER ABERTO, FACIL ACESSO PARA COAMINHAO [PS=785088259 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=SIM  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=NAO  FONTESUB=NAO]  PS=785088259,POSTE AVARIADO/ABALROADO (SUBSTITUIR=1  [PS=785088259,1-POSTE DUPLO T B/300/10.5M  PS=785088259,1-ISOL PILAR PORCELANA 35 KV  PS=785088259,1-ISOL BASTAO POLIMERICO 34KV  ];0;0;0;0
494015;TROCA DE TRANSFORMADOR O MESMO ESTA COM AS CHAVES LIGADAS E NAO TA SAINDO 220V FEITO TESTE COM FASES E NEUTRO TUDO OK FASE FASE FALTANDO FASE ACESSO BOM BEIRA DA ESTRADA,  [PS=617960865 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=617960865,TRANSFORMADOR AVARIADO=1  [PS=617960865,1-TRANSF. TRIF. 33   KV     75KVA  ];0;0;0;0
494016;TROCAR TRAFO PS 622072773 TRAFO QUEIMADO H1024,  [PS=622072773 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=622072773,TRANSFORMADO QUEIMADO=1  [PS=622072773,1-TRANSF. MONO  15KVA OVI  ];0;0;0;0
494017;COMPLEMENTAR NDS 493996EMENDAR CONDUTOR DE MT 3X2,25 NO PS 946243825 ATE 946243376, JUMPER ABERTO NO PS 946243831 E TRIP 59384 FICOU FECHADA, SEM ACESSO A NENHUM DOS PS, 500 MT DE PUCHADA, FAZER DE DIA A NOITE FICA DIFICIL FAZER,;0;0;0;0
