NDS;DESCRICAO DO SERVICO
492578;NECESARIO CORTAR BAMBU COM VENTO ELES BATEM NO JUMPER ENCIMA DA CF DO TRAFO P0102 ATUANDO ELO NA CR P TRAS E TBEM ESTAO POR CIMA DO RAMAL DO CLIENTE,BOM ACESO CHEGA VEICULO ATE O PS,FICOU TUDO LIGADO,  [PS=620646829 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=NAO  AVARIANAREDE=SIM   TODAREDEINSP=NAO  FONTESUB=NAO]  PS=620646829,CORTAR CERCA VIVA/BAMBU=10  
492579;GERAR NDS PARA MANUTENCAO TROCAR TRAFO F7476   FEITO TESTE O MESMO ESTA COM NEUTRO ROMPIDO INETRNAMENTE  NECESSARIO A TROCA DO MESMO  LIVRE ACESSO PARA CAMINHAO,  [PS=793746489 V4X4=NAO  CESTO=NAO  LV=NAO  CHVAB=SIM  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=SIM]  PS=793746489,PODAR ARVORE=1 PS=793746489,APRUMAR POSTE=1 PS=793746489,EMENDAR CONDUTOR(ES=1 PS=793746489,TRANSFORMADOR AVARIADO=1  
492580;FAVOR EXECUTAR PADRONIZACAO NO TR 81776E0081 EFETUAR TROCA DE CHAVE MARTELO ,TROCA DE PARAIOS ,CHAVES PROXIMO DA ALTA FACIL ACESSO E EMPRESARIOS PEDEM URGENCIA PQ A MESMA CHAVE ABRE SEMPRE SEM ATUAR O ELO FUSIVEL,  [PS=611817645 V4X4=NAO  CESTO=SIM  LV=NAO  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=NAO  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=611817645,SUBSTITUIR PORTA FUSIVEL=3  [PS=611817645,3-CHAVE FUSIVEL C -  PORCELANA 15KV 300A  PS=611817645,3-PARA-RAIO  15 KV POLIMERICO  PS=611817645,15-CABO COBRE XLPE 0,6/1KV 16 MM2  PS=611817645,15-FIO COBRE NU 6 AWG  ]
492581;PODAR VARIAS ARVORES ENTRE OS PS 794861215 E 794861211 NECESSARIO LINHA VIVA OU DESLIGAR A REDE, ARVORES SOBRE A REDE E QUEIMANDO QUANDO VENTA, ACESSO VIA ROCA (SERVICO DE EMERGENCIA)
492582;TROCAR O TR G9912, TR DE 75KVA NA 34,5KV, O MESMO ESTA QUEIMADO E FICOU ABERTO, BOM ACESSO NA ESTRADA (SERVICO DE EMERGENCIA)
492583;[11:28, 19/09/2025] +55 45 9991-3373 FAVOR GERAR NDS PARA TROCA DE PARAFUSO PASSANTE ROMPIDO, CORDOALHA DA REDE COMPACTA CAIDA SOBRE CONDUTORES NO ALIMENTADOR MALASIA PS 578994923 SERVICO URGENTE
492584;TRASER EMENDA CABO2WG PARANA TRIFASICO E UM UNS3M DE CABO POR PRECAUSAO TRASER UM ISOLODOR DA 34 CHAVE 82023 ABERTA E CHAVE DO RA 82022 ABERTA COM ACESSO CAMINHAO PS CABO ROMPIDO 607304062,  [PS=607304062 V4X4=SIM  CESTO=SIM  LV=NAO  CHVAB=SIM  JUMPAB=SIM  RISCOACID=SIM  CONSDESLIG=SIM  AVARIANAREDE=SIM   TODAREDEINSP=NAO  FONTESUB=NAO]  PS=607304062,EMENDAR CONDUTOR(ES=1  
492585;POSTE ABALROADO POR CAMINHAO. VITIMA NO LOCAL.   NUM. GEO  771997382  COORDENADAS  381566, 7130885  COD. MATERIAL:  20011314  CODIGO MCPSE  DESCRICAO:  POSTE DUPLO T B-4.5/2000/13.5MPOSTE DA CHAVE 24797 -  247 CLIENTES SEM ENERGIA E SEM OPCAO DE MANOBRAS.
492586;CRUZAMENTO AEREO ESTA DESRREGULADO DEVIDO AO ABALROAMENTO DO POSTE NA CHAVE 24797. REDE NO CURZAMENTO ESTA LIGADA. FOI MANOBRADO PRAA DIMINUIR A CARGA. VER POSSIBILIDADE DE LINHA VIVA NO LOCAL.
492587;PARA DERRUBADA DE ARVORE DE GFANDE PORTE ACIMA DA REDE PENDIDA SOBRE PROXIMA AO TR A8897 E VARIAS ARVORES A SEREM DERRUBADAS ACIMA A REDE DE GRANDE PORTE DERIVACAO DA CHAVE 00480 NOS PS 796084259 E 77322354102 E CONTRINUAR ROCADA
492588;PARA INTETCALA UM POSTE PROXIMO DO PS 794148127   CABO ESTA BAIXO NO  MEIO DA LAVOURA   ASSESO BOM PARA CAMINHAO  E TROCAR PS 794823605  PS DE MADEIRA FINAL DUMA BT   PROGRAMAR COM AGECIA PARA FASER AS PODAS NESSESARIAS NO RAMAL (SERVICO DE EMERGENCIA)
492589;FAVOR GERAR NDS PARA CORTAR 2 ARVORES DE GRANDE PORTE PUXAR COM TIFOR NO TR 8324030441 CR 8324007564
492590;FAVOR GERAR NDS PRA FAZER AMARASAO DE CABO 4.0 DO ALIMENTADOR PLANAUTO , NESSESARIO DESLIGAR REDE DE 13,I CR 5115,, LOCAL DIFICIL ACESSO PS 791393997,
492592;FOI ROUBADO 4 TRAFO  DO   R2405  R2404 R2503. R2402  TODOS ESSE TAFO NAO TEM MORADOR NO LOCAL GERAR NDS PRA RECOLHER OS CASCO  TODOS NA BEIRA DA ESTRADA, APOS ISTO SOLICITAR ATUALIZAR O CADASTRO  [PS=846371778 V4X4=SIM  CESTO=NAO  LV=NAO  CHVAB=NAO  JUMPAB=NAO  RISCOACID=NAO  CONSDESLIG=NAO  AVARIANAREDE=SIM   TODAREDEINSP=SIM  FONTESUB=NAO]  PS=846371778,TRANSFORMADO QUEIMADO=1  [PS=846371778,1-TRANSF. MONO. 33 KV     10 KVA  ]
